Descr,Degree of Truth
For almost every patients in euthymia with low energy_mean we have medium energy_mean,0.0
For most patients in euthymia with low energy_mean we have medium energy_mean,0.0
For around half patients in euthymia with low energy_mean we have medium energy_mean,1.0
For few patients in euthymia with low energy_mean we have medium energy_mean,0.07313070243015725
For almost none patients in euthymia with low energy_mean we have medium energy_mean,0.0
For almost every patients in euthymia with low energy_mean we have high energy_mean,0.0
For most patients in euthymia with low energy_mean we have high energy_mean,0.0
For around half patients in euthymia with low energy_mean we have high energy_mean,0.0
For few patients in euthymia with low energy_mean we have high energy_mean,0.8275634077416129
For almost none patients in euthymia with low energy_mean we have high energy_mean,0.04593901290268794
For almost every patients in euthymia with low energy_mean we have low f0_slope_mean,0.0
For most patients in euthymia with low energy_mean we have low f0_slope_mean,0.0
For around half patients in euthymia with low energy_mean we have low f0_slope_mean,1.0
For few patients in euthymia with low energy_mean we have low f0_slope_mean,0.0
For almost none patients in euthymia with low energy_mean we have low f0_slope_mean,0.0
For almost every patients in euthymia with low energy_mean we have medium f0_slope_mean,0.0
For most patients in euthymia with low energy_mean we have medium f0_slope_mean,0.0
For around half patients in euthymia with low energy_mean we have medium f0_slope_mean,0.0
For few patients in euthymia with low energy_mean we have medium f0_slope_mean,0.8073372383867774
For almost none patients in euthymia with low energy_mean we have medium f0_slope_mean,0.012228730644628885
For almost every patients in euthymia with low energy_mean we have high f0_slope_mean,0.0
For most patients in euthymia with low energy_mean we have high f0_slope_mean,0.14936620170964165
For around half patients in euthymia with low energy_mean we have high f0_slope_mean,1.0
For few patients in euthymia with low energy_mean we have high f0_slope_mean,0.0
For almost none patients in euthymia with low energy_mean we have high f0_slope_mean,0.0
For almost every patients in euthymia with low energy_mean we have low localjitter,0.0
For most patients in euthymia with low energy_mean we have low localjitter,0.0
For around half patients in euthymia with low energy_mean we have low localjitter,1.0
For few patients in euthymia with low energy_mean we have low localjitter,0.0
For almost none patients in euthymia with low energy_mean we have low localjitter,0.0
For almost every patients in euthymia with low energy_mean we have medium localjitter,0.0
For most patients in euthymia with low energy_mean we have medium localjitter,0.0
For around half patients in euthymia with low energy_mean we have medium localjitter,0.18787044621681703
For few patients in euthymia with low energy_mean we have medium localjitter,0.6872777322699098
For almost none patients in euthymia with low energy_mean we have medium localjitter,0.0
For almost every patients in euthymia with low energy_mean we have high localjitter,0.0
For most patients in euthymia with low energy_mean we have high localjitter,0.13656810388483012
For around half patients in euthymia with low energy_mean we have high localjitter,1.0
For few patients in euthymia with low energy_mean we have high localjitter,0.0
For almost none patients in euthymia with low energy_mean we have high localjitter,0.0
For almost every patients in euthymia with low energy_mean we have low localshimmer,0.0
For most patients in euthymia with low energy_mean we have low localshimmer,0.0
For around half patients in euthymia with low energy_mean we have low localshimmer,1.0
For few patients in euthymia with low energy_mean we have low localshimmer,0.0
For almost none patients in euthymia with low energy_mean we have low localshimmer,0.0
For almost every patients in euthymia with low energy_mean we have medium localshimmer,0.0
For most patients in euthymia with low energy_mean we have medium localshimmer,0.0
For around half patients in euthymia with low energy_mean we have medium localshimmer,0.28117046836883064
For few patients in euthymia with low energy_mean we have medium localshimmer,0.6312977189787017
For almost none patients in euthymia with low energy_mean we have medium localshimmer,0.0
For almost every patients in euthymia with low energy_mean we have high localshimmer,0.0
For most patients in euthymia with low energy_mean we have high localshimmer,0.2879311728361684
For around half patients in euthymia with low energy_mean we have high localshimmer,0.8534480452730523
For few patients in euthymia with low energy_mean we have high localshimmer,0.0
For almost none patients in euthymia with low energy_mean we have high localshimmer,0.0
For almost every patients in euthymia with low energy_mean we have low pitch_mean,0.0
For most patients in euthymia with low energy_mean we have low pitch_mean,0.0
For around half patients in euthymia with low energy_mean we have low pitch_mean,1.0
For few patients in euthymia with low energy_mean we have low pitch_mean,0.180638295415833
For almost none patients in euthymia with low energy_mean we have low pitch_mean,0.0
