"Age","Gender_of_partner","desire","partner_respo","attachment_anxious","attachment_avoidant","Rel_length","intimacy_lb","intimacy_m","intimacy_ub"
30,"female",6,9.7247838385514,14,10,1,2.69959144509727,3.43149912281907,4.08074773403962
24,"male",14,18.5654964190527,14,3,2,3.95219527907281,4.36157564792909,4.6922930419966
34,"male",8,17.6814251610025,13,7,0.5,3.69730018634093,4.212807008359,4.6203854930693
31,"female",14,11.4929263546517,11,9,1,2.35089645729374,3.09862004391155,3.82503424156641
27,"female",14,16.7973539029524,13,6,3,3.95233621653558,4.36165011970414,4.69232046490716
18,"male",14,17.6814251610025,13,7,0.8,4.23213115962821,4.49062347096964,4.71249401035485
31,"female",10,17.6814251610025,13,6,6,3.95224533975464,4.36160210117089,4.69230278428063
20,"female",14,18.5654964190527,14,2,5,3.95228538909692,4.36162326336957,4.69231057689414
24,"male",14,17.6814251610025,13,6,4,3.46479081733764,4.05480521956957,4.52268227019986
41,"female",11,11.4929263546517,12,7,22,2.92920740571313,3.63231309109662,4.22747873327785
42,"male",3,11.4929263546517,14,7,4,2.83383016719615,3.55038972133668,4.16807533947194
36,"female",12,15.0292113868522,11,9,2,4.23213115962821,4.49062347096964,4.71249401035485
47,"male",2,18.5654964190527,11,8,2,3.95219527907281,4.36157564792909,4.6922930419966
26,"male",6,15.0292113868522,14,7,6.6,3.34955048608852,3.96987531421759,4.46575484989335
43,"male",11,8.84071258050127,12,10,25,3.32017947819639,3.94762802426497,4.45053140865718
54,"male",5,17.6814251610025,11,8,39,3.61713774792178,4.16054480474307,4.58967926609154
32,"male",14,12.3769976127018,12,12,2,3.27452056083277,3.91259728718006,4.42635827361775
27,"male",9,11.4929263546517,14,2,7,2.52379073962687,3.26853184907682,3.95810869199495
19,"male",14,17.6814251610025,12,5,2,4.23213115962821,4.49062347096964,4.71249401035485
27,"male",11,17.6814251610025,13,7,3,4.23213115962821,4.49062347096964,4.71249401035485
43,"male",10,12.3769976127018,12,9,13,2.75200799191389,3.4784490769128,4.11541201225556
26,"female",12,13.2610688707519,14,9,8,2.59565010128784,3.33622995688811,4.00954479206133
20,"male",4,18.5654964190527,14,6,2.5,4.23213115962821,4.49062347096964,4.71249401035485
35,"male",13,14.145140128802,14,5,6,4.23213115962821,4.49062347096964,4.71249401035485
42,"male",9,18.5654964190527,14,4,34,4.23213115962821,4.49062347096964,4.71249401035485
26,"female",12,14.145140128802,14,7,0.5,3.46476960329964,4.05478995364841,4.52267224185705
52,"female",2,18.5654964190527,9,2,12,3.95224533975464,4.36160210117089,4.69230278428063
28,"female",13,13.2610688707519,11,7,4,2.48405263633218,3.23039632307734,3.92877422772964
26,"male",12,17.6814251610025,13,9,1,3.46479081733764,4.05480521956957,4.52268227019986
58,"male",2,8.84071258050127,13,9,32,2.34996051320983,3.09767052197112,3.82427172790598
26,"female",9,14.145140128802,14,5,8,4.23213115962821,4.49062347096964,4.71249401035485
18,"male",2,5.30442754830076,14,13,3,2.09385530231623,2.8235842767317,3.5926274525684
35,"female",13,16.7973539029524,14,5,2,3.51367627976102,4.08959837424141,4.54530401204008
27,"male",4,15.9132826449023,13,5,2,2.52090578148769,3.26578046919281,3.95600142857698
56,"female",2,10.6088550966015,6,5,19,4.23213115962821,4.49062347096964,4.71249401035485
23,"male",12,11.4929263546517,12,12,0.4,2.74614251978416,3.47322982123817,4.11157079947909
55,"male",2,4.42035629025064,12,11,25,1.8190699554615,2.49089647970193,3.26965786389917
37,"male",12,7.07257006440102,14,12,1,2.14646922591682,2.88240453818505,3.64451951521217
48,"female",12,16.7973539029524,9,7,30,3.95233621653558,4.36165011970414,4.69232046490716
25,"female",14,14.145140128802,14,13,1,3.69730018634093,4.212807008359,4.6203854930693
18,"male",2,8.84071258050127,11,9,0.1,2.90605278178454,3.6126085668878,4.21324111914024
31,"male",12,13.2610688707519,13,6,5,2.74918206256602,3.47593555540839,4.11356250613875
20,"female",12,15.0292113868522,11,7,2,3.09805131265941,3.77257007014989,4.3279446543961
23,"male",10,18.5654964190527,14,5,2,4.23213115962821,4.49062347096964,4.71249401035485
45,"female",13,15.9132826449023,10,12,0.5,3.23402881109899,3.88109824116481,4.40444164799556
22,"male",5,12.3769976127018,14,8,5,3.32814459989362,3.95368398276049,4.45468601273947
25,"male",13,18.5654964190527,10,7,5,3.61711721932179,4.16053110918533,4.58967097155274
28,"male",5,17.6814251610025,14,6,1.5,3.6972780073746,4.2127928923715,4.62037747939536
